Stock Symbol,Last Close,EOD Price Strength,EOD Volume Spike,News Sentiment,Potential Gainer Score
LAURUSLABS,₹894.20,0.90,4.57,0.00,18.12
POONAWALLA,₹429.10,0.37,5.54,0.00,15.95
AADHARHFC,₹517.75,0.12,4.32,0.00,15.16
ACMESOLAR,₹292.54,0.63,3.43,0.00,12.95
ECLERX,"₹3,785.00",0.74,1.80,0.00,10.71
CIPLA,"₹1,560.00",0.70,1.75,0.00,10.47
MPHASIS,"₹2,716.90",0.62,2.38,0.00,8.82
KOTAKBANK,"₹1,974.80",0.04,3.07,0.00,8.79
LODHA,"₹1,231.60",0.44,2.58,0.00,8.76
IEX,₹140.35,0.58,2.37,0.00,8.65
