Ticker,Signal,Last_Close,Potential_Gainer_Score,Entry_Zone,Target_1,Target_2,Stop_Loss
MINDACORP,BUY,577.60,18.32,Enter on breakout above R1 (593.73) or on dip near Pivot (571.87),593.73,609.87,Below Pivot (571.87) or S1 (555.73)
TATAINVEST,HOLD,8484.50,9.06,Enter on breakout above R1 (8618.67) or on dip near Pivot (8409.83),8618.67,8752.83,Below Pivot (8409.83) or S1 (8275.67)
SCI,BUY,233.33,6.95,Enter on breakout above R1 (235.88) or on dip near Pivot (231.44),235.88,238.43,Below Pivot (231.44) or S1 (228.89)
CESC,BUY,172.05,5.97,Enter on breakout above R1 (173.50) or on dip near Pivot (171.05),173.50,174.95,Below Pivot (171.05) or S1 (169.60)
JSWINFRA,BUY,348.05,5.25,Enter on breakout above R1 (350.18) or on dip near Pivot (346.52),350.18,352.32,Below Pivot (346.52) or S1 (344.38)
CGCL,BUY,194.60,5.21,Enter on breakout above R1 (195.07) or on dip near Pivot (194.13),195.07,195.53,Below Pivot (194.13) or S1 (193.67)
ADANIENSOL,BUY,921.05,5.07,Enter on breakout above R1 (925.47) or on dip near Pivot (917.38),925.47,929.88,Below Pivot (917.38) or S1 (912.97)
GPIL,BUY,274.67,5.01,Enter on breakout above R1 (278.54) or on dip near Pivot (273.13),278.54,282.41,Below Pivot (273.13) or S1 (269.26)
GLAND,BUY,2024.10,4.87,Enter on breakout above R1 (2029.67) or on dip near Pivot (2019.43),2029.67,2035.23,Below Pivot (2019.43) or S1 (2013.87)
NHPC,BUY,86.97,4.81,Enter on breakout above R1 (87.24) or on dip near Pivot (86.78),87.24,87.52,Below Pivot (86.78) or S1 (86.50)
